68523	3623
69341	34528
69341	5618
48776	2594
69002	8533
65135	49530
66022	31878
71509	5878
70789	50
65403	838
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
70062	2313
70560	1259
55865	33830
70037	5266
71149	508
66328	45517
70287	1214
71487	7361
70299	7067
68393	8879
64821	6333
64886	3087
63438	953
53315	5941
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
69393	356
68899	442
